symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,0.00066000,1.076,0.06160503,0.06132000,0.06197000,0.23870000,0.06196000,43.11450000,0.06197000,42.04540000,0.06131000,0.06206000,0.06100000,31285.38760000,1927.33727262,1695907541480,1695993941480,423349000,423398617,49618
LTCBTC,0.00002300,0.953,0.00241988,0.00241300,0.00243600,1.04500000,0.00243500,31.51800000,0.00243600,96.02700000,0.00241300,0.00245000,0.00238200,35373.39600000,85.59942186,1695907539909,1695993939909,93640777,93651797,11021
BNBBTC,-0.00004700,-0.583,0.00797492,0.00806300,0.00801600,0.94200000,0.00801600,9.96700000,0.00801700,5.68800000,0.00806300,0.00806800,0.00789000,19447.47800000,155.09215038,1695907538457,1695993938457,227391682,227415143,23462
NEOBTC,-0.00000370,-1.351,0.00027014,0.00027410,0.00027010,59.31000000,0.00026990,1.64000000,0.00027010,36.98000000,0.00027380,0.00027380,0.00026820,10529.73000000,2.84454877,1695907541644,1695993941644,45537914,45538919,1006
QTUMETH,-0.00003800,-2.784,0.00134452,0.00136200,0.00132700,19.70000000,0.00132400,717.70000000,0.00133200,49.20000000,0.00136500,0.00136800,0.00132700,2180.10000000,2.93119460,1695907542148,1695993942148,5402553,5402630,78
EOSETH,-0.00000270,-0.777,0.00034528,0.00034850,0.00034480,111.80000000,0.00034400,563.60000000,0.00034460,119.10000000,0.00034750,0.00034890,0.00034260,15558.60000000,5.37205834,1695907541402,1695993941402,23499425,23499575,151
SNTETH,0.00000004,0.281,0.00001438,0.00001425,0.00001426,6861.00000000,0.00001427,8383.00000000,0.00001434,8351.00000000,0.00001422,0.00001473,0.00001396,1065310.00000000,15.31771876,1695907503575,1695993903575,3915052,3915260,209
BNTETH,-0.00000480,-1.946,0.00024288,0.00024700,0.00024180,11.70000000,0.00024100,248.00000000,0.00024200,963.20000000,0.00024660,0.00024660,0.00024140,7604.10000000,1.84685852,1695907529561,1695993929561,2235603,2235665,63
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969718,1689657369718,-1,-1,0
GASBTC,-0.00000150,-1.685,0.00008772,0.00008900,0.00008750,58.70000000,0.00008750,198.30000000,0.00008760,21.90000000,0.00008900,0.00008910,0.00008680,6545.60000000,0.57420105,1695907502507,1695993902507,20828570,20829085,516
BNBETH,-0.00220000,-1.673,0.12999987,0.13140000,0.12930000,0.02600000,0.12930000,17.31800000,0.12940000,0.17000000,0.13150000,0.13170000,0.12870000,9259.07300000,1203.67827240,1695907538244,1695993938244,56356775,56364447,7673
BTCUSDT,451.80000000,1.703,26995.44201630,26531.21000000,26983.01000000,0.00537000,26983.00000000,10.25605000,26983.01000000,5.64709000,26531.21000000,27308.48000000,26476.36000000,45333.58152000,1223800071.31446850,1695907542095,1695993942095,3222276536,3223412941,1136406
ETHUSDT,45.47000000,2.795,1658.86445498,1626.61000000,1672.09000000,0.06280000,1672.09000000,1.14000000,1672.10000000,120.98380000,1626.62000000,1688.00000000,1622.34000000,339606.96880000,563361929.20483100,1695907541358,1695993941358,1201496588,1202084960,588373
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969718,1689657369718,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969718,1689657369718,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969718,1689657369718,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969718,1689657369718,-1,-1,0
