symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,0.00035000,0.574,0.06100914,0.06102000,0.06137000,0.09190000,0.06136000,42.75190000,0.06137000,66.06310000,0.06102000,0.06160000,0.06050000,19161.91460000,1169.05199654,1695814511768,1695900911768,423313063,423346951,33889
LTCBTC,-0.00002500,-1.025,0.00241628,0.00244200,0.00241500,12.44100000,0.00241500,30.75800000,0.00241600,134.46700000,0.00244000,0.00244500,0.00239600,34819.02700000,84.13244106,1695814510977,1695900910977,93629742,93640191,10450
BNBBTC,-0.00001000,-0.124,0.00805236,0.00807100,0.00806100,0.08700000,0.00806000,5.78100000,0.00806100,11.73700000,0.00807100,0.00810300,0.00800400,21016.71000000,169.23405300,1695814512004,1695900912004,227367533,227390328,22796
NEOBTC,-0.00000020,-0.073,0.00027325,0.00027420,0.00027370,2.13000000,0.00027370,131.84000000,0.00027400,28.88000000,0.00027390,0.00027500,0.00027110,5630.91000000,1.53864072,1695814511011,1695900911011,45537061,45537884,824
QTUMETH,0.00001000,0.743,0.00134708,0.00134400,0.00135600,7.30000000,0.00134900,45.50000000,0.00135300,76.60000000,0.00134600,0.00135600,0.00134300,180.40000000,0.24301370,1695814502052,1695900902052,5402499,5402517,19
EOSETH,-0.00000320,-0.909,0.00034941,0.00035170,0.00034870,9.10000000,0.00034810,522.60000000,0.00034900,142.40000000,0.00035190,0.00035190,0.00034710,13267.90000000,4.63589525,1695814499977,1695900899977,23499262,23499407,146
SNTETH,0.00000027,1.941,0.00001422,0.00001390,0.00001418,12813.00000000,0.00001418,4330.00000000,0.00001426,13389.00000000,0.00001391,0.00001442,0.00001391,1426105.00000000,20.27223468,1695814501728,1695900901728,3913891,3915050,1160
BNTETH,-0.00000060,-0.243,0.00024729,0.00024660,0.00024660,5.00000000,0.00024620,287.90000000,0.00024720,5.00000000,0.00024720,0.00024860,0.00024600,179.80000000,0.04446255,1695814511837,1695900911837,2235576,2235600,25
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570964538,1689657364538,-1,-1,0
GASBTC,0.00000090,1.024,0.00008803,0.00008800,0.00008880,20.30000000,0.00008840,36.40000000,0.00008880,104.00000000,0.00008790,0.00008930,0.00008740,25680.00000000,2.26073172,1695814510167,1695900910167,20827616,20828495,880
BNBETH,-0.00090000,-0.680,0.13204622,0.13220000,0.13140000,0.02800000,0.13130000,15.82400000,0.13140000,24.49500000,0.13230000,0.13320000,0.13060000,5799.79100000,765.84050160,1695814508334,1695900908334,56350232,56356321,6090
BTCUSDT,-140.40000000,-0.527,26450.99672511,26660.00000000,26519.59000000,0.03998000,26519.58000000,12.65929000,26519.59000000,0.10740000,26659.99000000,26850.00000000,26112.06000000,36091.19570000,954648099.26605330,1695814513323,1695900913323,3221196884,3222202852,1005969
ETHUSDT,0.73000000,0.045,1611.32945561,1626.49000000,1627.22000000,0.00310000,1627.21000000,105.65640000,1627.22000000,20.04710000,1626.49000000,1637.76000000,1583.50000000,292978.30770000,472084577.05121100,1695814513323,1695900913323,1200958899,1201460886,501988
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570964538,1689657364538,-1,-1,0
